GEOID,NAME,ADI,geometry
39035119202,"Census Tract 1192.02, Cuyahoga County, Ohio",131.81781078538566,"list(list(c(-81.61526, -81.611745, -81.609707, -81.609758, -81.608672, -81.608451, -81.607328, -81.606383, -81.605512, -81.603166, -81.603111, -81.603198, -81.601617, -81.601571, -81.60192, -81.60333, -81.608827, -81.611356, -81.611711, -81.615244, -81.61526, -81.61526, 41.497796, 41.497822, 41.497847, 41.497392, 41.497744, 41.497572, 41.498161, 41.498845, 41.499826, 41.499583, 41.496649, 41.495084, 41.494644, 41.490406, 41.489152, 41.489285, 41.492057, 41.493683, 41.4932, 41.493467, 41.497745, 41.497796
)))"
39035119502,"Census Tract 1195.02, Cuyahoga County, Ohio",123.8899919677526,"list(list(c(-81.598304, -81.595411, -81.595509, -81.595691, -81.593757, -81.591884, -81.59189, -81.591562, -81.591125, -81.59042, -81.590397, -81.591198, -81.591771, -81.591859, -81.591967, -81.591951, -81.594865, -81.594914, -81.595084, -81.595133, -81.597708, -81.598304, 41.484209, 41.484194, 41.484835, 41.487809, 41.487585, 41.487369, 41.484142, 41.484115, 41.484097, 41.483312, 41.482379, 41.482422, 41.482435, 41.479817, 41.479824, 41.478001, 41.478001, 41.480149, 41.480167, 41.483169, 41.483174, 
41.484209)))"
39035120500,"Census Tract 1205, Cuyahoga County, Ohio",128.53271434051146,"list(list(c(-81.616944, -81.609344, -81.605005, -81.604994, -81.607967, -81.608467, -81.608418, -81.608566, -81.608385, -81.607678, -81.609049, -81.60964, -81.611615, -81.612295, -81.613278, -81.613259, -81.613248, -81.614701, -81.614701, -81.614714, -81.616852, -81.616944, 41.470989, 41.469416, 41.468508, 41.467265, 41.467439, 41.467439, 41.463612, 41.461489, 41.458504, 41.45761, 41.457304, 41.457299, 41.457277, 41.457267, 41.457259, 41.461491, 41.463578, 41.463563, 41.466307, 41.468295, 41.469806, 
41.470989)))"
39035121200,"Census Tract 1212, Cuyahoga County, Ohio",125.84320076268855,"list(list(c(-81.591149, -81.591149, -81.59115, -81.584634, -81.584634, -81.584604, -81.584594, -81.584026, -81.587506, -81.591125, -81.59113, -81.591151, -81.591149, 41.452032, 41.454326, 41.456511, 41.456559, 41.454355, 41.452975, 41.452119, 41.449092, 41.449064, 41.449009, 41.45073, 41.451578, 41.452032)))"
39035182106,"Census Tract 1821.06, Cuyahoga County, Ohio",77.39201689384991,"list(list(c(-81.684622, -81.660666, -81.660515, -81.660772, -81.672513, -81.684585, -81.68459, -81.684622, 41.368566, 41.368888, 41.361742, 41.351069, 41.351028, 41.350966, 41.3615, 41.368566)))"
39035183402,"Census Tract 1834.02, Cuyahoga County, Ohio",89.28632962353656,"list(list(c(-81.585038, -81.576629, -81.572132, -81.569641, -81.567908, -81.564975, -81.564967, -81.572413, -81.572422, -81.576863, -81.576734, -81.577361, -81.57988, -81.582393, -81.584791, -81.58495, -81.585038, 41.479068, 41.472238, 41.467909, 41.466759, 41.466448, 41.466411, 41.464463, 41.464409, 41.465217, 41.465448, 41.470383, 41.471488, 41.47178, 41.471751, 41.471803, 41.472168, 41.479068)))"
39035183501,"Census Tract 1835.01, Cuyahoga County, Ohio",84.17983209640119,"list(list(c(-81.553169, -81.550302, -81.543163, -81.536204, -81.52737, -81.527461, -81.529064, -81.532044, -81.532225, -81.532184, -81.531994, -81.536186, -81.538395, -81.54696, -81.546982, -81.547503, -81.550326, -81.553169, 41.472576, 41.47423, 41.473932, 41.473835, 41.473765, 41.473205, 41.47185, 41.471852, 41.469875, 41.469402, 41.464547, 41.464547, 41.464548, 41.464533, 41.466753, 41.469964, 41.471339, 41.472576)))"
39035187104,"Census Tract 1871.04, Cuyahoga County, Ohio",77.25789040567471,"list(list(c(-81.551552, -81.549237, -81.545784, -81.545773, -81.544243, -81.541318, -81.538718, -81.536242, -81.536242, -81.536261, -81.537252, -81.544914, -81.548545, -81.548547, -81.548454, -81.551609, -81.551552, 41.497701, 41.497708, 41.497716, 41.495926, 41.495697, 41.49594, 41.495723, 41.495925, 41.491452, 41.487048, 41.48707, 41.487125, 41.487152, 41.49032, 41.493954, 41.493853, 41.497701)))"
39035188107,"Census Tract 1881.07, Cuyahoga County, Ohio",115.9485703967209,"list(list(c(-81.519043, -81.506385, -81.505074, -81.500581, -81.497826, -81.494827, -81.493749, -81.49421, -81.488532, -81.488385, -81.488593, -81.488696, -81.494178, -81.508863, -81.518636, -81.519043, 41.425364, 41.429705, 41.431217, 41.435105, 41.438127, 41.442621, 41.443571, 41.442698, 41.44272, 41.435079, 41.426349, 41.424268, 41.424261, 41.424234, 41.424239, 41.425364)))"
39035189108,"Census Tract 1891.08, Cuyahoga County, Ohio",62.862604071770406,"list(list(c(-81.969963, -81.969963, -81.969863, -81.962592, -81.9609, -81.95859, -81.957907, -81.950859, -81.948258, -81.938943, -81.937174, -81.934234, -81.931826, -81.92881, -81.926048, -81.921833, -81.922251, -81.928762, -81.930717, -81.933713, -81.936656, -81.938757, -81.94369, -81.950021, -81.955868, -81.961831, -81.962253, -81.962464, -81.970263, -81.969963, 41.416927, 41.418913, 41.431253, 41.438113, 41.438831, 41.439389, 41.43967, 41.445454, 41.447044, 41.450831, 41.452207, 41.455625, 41.457545, 
41.459201, 41.459929, 41.459744, 41.449326, 41.446892, 41.445626, 41.443356, 41.440287, 41.437993, 41.432612, 41.427126, 41.424516, 41.42268, 41.412017, 41.411047, 41.411045, 41.416927)))"
